run_id,work_order_id,machine_id,operator_id,start_time,end_time
1,195,1,13,2024-02-03 18:00:00,2024-02-03 22:55:32.328422
2,147,14,23,2024-03-12 16:00:00,2024-03-12 20:35:31.348955
3,80,7,10,2024-01-28 06:00:00,2024-01-28 09:53:45.245235
4,278,2,24,2024-02-10 06:00:00,2024-02-10 07:15:02.562071
5,245,17,30,2024-03-08 08:00:00,2024-03-08 09:17:03.832435
6,261,3,28,2024-01-24 07:00:00,2024-01-24 10:58:30.631916
7,121,13,4,2024-03-13 09:00:00,2024-03-13 12:53:40.543035
8,21,20,3,2024-02-23 16:00:00,2024-02-23 19:55:06.101207
9,268,11,30,2024-02-03 09:00:00,2024-02-03 13:20:55.067546
10,161,8,9,2024-02-20 08:00:00,2024-02-20 12:21:30.424013
11,154,15,11,2024-01-10 06:00:00,2024-01-10 09:17:29.139407
12,289,4,3,2024-03-09 09:00:00,2024-03-09 12:31:45.924493
13,68,12,29,2024-01-09 09:00:00,2024-01-09 11:50:51.487597
14,81,15,27,2024-03-10 17:00:00,2024-03-10 19:30:45.308574
15,271,1,22,2024-03-11 10:00:00,2024-03-11 15:39:31.608710
16,54,5,9,2024-01-15 07:00:00,2024-01-15 11:42:43.500312
17,80,9,10,2024-03-18 09:00:00,2024-03-18 13:35:17.019368
18,105,9,17,2024-03-03 10:00:00,2024-03-03 15:31:36.056839
19,27,3,21,2024-02-24 10:00:00,2024-02-24 11:13:13.561712
20,171,5,21,2024-02-03 08:00:00,2024-02-03 12:42:22.156350
21,283,14,18,2024-01-02 07:00:00,2024-01-02 08:22:34.389481
22,77,18,2,2024-02-17 15:00:00,2024-02-17 18:45:45.451741
23,221,5,2,2024-02-09 11:00:00,2024-02-09 16:29:41.666797
24,21,12,7,2024-03-28 09:00:00,2024-03-28 13:20:04.801391
25,182,18,29,2024-02-22 15:00:00,2024-02-22 19:44:50.597001
26,122,6,26,2024-01-23 12:00:00,2024-01-23 13:07:26.154514
27,171,14,26,2024-03-26 17:00:00,2024-03-26 22:03:13.487698
28,137,6,26,2024-03-30 07:00:00,2024-03-30 09:54:45.751007
29,20,16,8,2024-01-26 13:00:00,2024-01-26 15:44:53.851640
30,117,8,1,2024-03-25 09:00:00,2024-03-25 11:59:32.387614
31,143,3,25,2024-02-05 11:00:00,2024-02-05 15:12:26.671295
32,205,18,11,2024-01-04 07:00:00,2024-01-04 12:23:06.691408
33,134,6,19,2024-02-03 06:00:00,2024-02-03 07:32:31.245850
34,223,12,24,2024-02-10 12:00:00,2024-02-10 16:01:51.759360
35,262,4,13,2024-03-14 09:00:00,2024-03-14 11:16:25.005110
36,224,1,17,2024-03-09 16:00:00,2024-03-09 20:35:49.739985
37,101,12,14,2024-01-09 16:00:00,2024-01-09 21:36:13.875412
38,161,4,24,2024-02-08 14:00:00,2024-02-08 16:32:47.123920
39,210,11,13,2024-03-30 10:00:00,2024-03-30 13:46:19.424598
40,99,14,22,2024-02-18 16:00:00,2024-02-18 20:44:26.422083
41,90,20,19,2024-02-08 12:00:00,2024-02-08 15:44:22.869836
42,1,10,10,2024-01-27 12:00:00,2024-01-27 16:55:43.658895
43,165,15,15,2024-02-26 16:00:00,2024-02-26 18:04:06.625218
44,243,6,22,2024-01-11 10:00:00,2024-01-11 13:34:38.136178
45,172,3,27,2024-01-31 16:00:00,2024-01-31 18:33:07.550357
46,102,5,1,2024-01-06 09:00:00,2024-01-06 14:55:10.848410
47,38,15,14,2024-03-21 15:00:00,2024-03-21 16:58:19.834261
48,197,16,13,2024-02-01 08:00:00,2024-02-01 12:16:49.044200
49,3,4,25,2024-02-24 09:00:00,2024-02-24 10:52:45.960271
